employees	sector
6412119	x111_agricultura
1204660	x112_cria_y_explotacion_de_animales
179676	x114_pesca_caza_y_captura
92390	x113_115_aprovechamiento_forestal_servicios_relacionados_con_las_actividades_agropecuarias_y_forestales
38020	x21_1_mineria_petrolera
223272	x21_2_mineria_no_petrolera
215438	x22_generacion_transmision_distribucion_y_comercializacion_de_energia_electrica_suministro_de_agua_y_de_gas_natural_por_ductos_al_consumidor_final
4996162	x23_construccion
1728806	x311_industria_alimentaria
182083	x312_industria_de_las_bebidas_y_del_tabaco
358989	x313_314_fabricacion_de_insumos_textiles_y_acabado_de_textiles_fabricacion_de_productos_textiles_excepto_prendas_de_vestir
784389	x315_316_fabricacion_de_prendas_de_vestir_curtido_y_acabado_de_cuero_y_piel_y_fabricacion_de_productos_de_cuero_piel_y_materiales_sucedaneos
197584	x321_industria_de_la_madera
263392	x322_323_industria_del_papel_impresion_e_industrias_conexas
524544	x324_326_fabricacion_de_productos_derivados_del_petroleo_y_del_carbon_industria_quimica_industria_del_plastico_y_del_hule
391866	x327_fabricacion_de_productos_a_base_de_minerales_no_metalicos
656125	x331_332_industrias_metalicas_basicas_fabricacion_de_productos_metalicos
2473325	x333_336_fabricacion_de_maquinaria_y_equipo_fabricacion_de_equipo_de_computacion_comunicacion_medicion_y_de_otros_equipos_componentes_y_accesorios_electronicos_fabricacion_de_accesorios_aparatos_electricos_y_equipo_de_generacion_de_energia_electrica_fabricacion_de_equipo_de_transporte
374427	x337_fabricacion_de_muebles_colchones_y_persianas
526211	x339_otras_industrias_manufactureras
1594832	x43_comercio_al_por_mayor
9973725	x46_comercio_al_por_menor
3177225	x48_49_transportes_correos_y_almacenamiento
225415	x51_informacion_en_medios_masivos
365983	x52_servicios_financieros_y_de_seguros
720242	x53_servicios_inmobiliarios_y_de_alquiler_de_bienes_muebles_e_intangibles
988290	x54_servicios_profesionales_cientificos_y_tecnicos
41691	x55_corporativos
5132250	x56_servicios_de_apoyo_a_los_negocios_y_manejo_de_residuos_y_servicios_de_remediacion
2572328	x61_servicios_educativos
1634126	x62_servicios_de_salud_y_de_asistencia_social
357399	x71_servicios_de_esparcimiento_culturales_y_deportivos_y_otros_servicios_recreativos
3209803	x72_servicios_de_alojamiento_temporal_y_de_preparacion_de_alimentos_y_bebidas
4971732	x81_otros_servicios_excepto_actividades_gubernamentales
2716503	x93_actividades_legislativas_gubernamentales_de_imparticion_de_justicia_y_de_organismos_internacionales_y_extraterritoriales
