state_key	state_long	total	male	female
aguascalientes	Aguascalientes	1425607	696683	728924
baja_california	Baja California	3769020	1900589	1868431
baja_california_sur	Baja California Sur	798447	405879	392568
campeche	Campeche	928363	456939	471424
coahuila	Coahuila de Zaragoza	3146771	1563669	1583102
colima	Colima	731391	360622	370769
chiapas	Chiapas	5543828	2705947	2837881
chihuahua	Chihuahua	3741869	1853822	1888047
ciudad_mexico	Ciudad de México	9209944	4404927	4805017
durango	Durango	1832650	904866	927784
guanajuato	Guanajuato	6166934	2996454	3170480
guerrero	Guerrero	3540685	1700612	1840073
hidalgo	Hidalgo	3082841	1481379	1601462
jalisco	Jalisco	8348151	4098455	4249696
estado_mexico	México	16992418	8251295	8741123
michoacan	Michoacán de Ocampo	4748846	2306341	2442505
morelos	Morelos	1971520	950847	1020673
nayarit	Nayarit	1235456	612278	623178
nuevo_leon	Nuevo León	5784442	2890950	2893492
oaxaca	Oaxaca	4132148	1974843	2157305
puebla	Puebla	6583278	3160115	3423163
queretaro	Querétaro	2368467	1156820	1211647
quintana_roo	Quintana Roo	1857985	936779	921206
san_luis_potosi	San Luis Potosí	2822255	1372451	1449804
sinaloa	Sinaloa	3026943	1494815	1532128
sonora	Sonora	2944840	1472197	1472643
tabasco	Tabasco	2402598	1173671	1228927
tamaulipas	Tamaulipas	3527735	1736140	1791595
tlaxcala	Tlaxcala	1342977	649894	693083
veracruz	Veracruz de Ignacio de la Llave	8062579	3871774	4190805
yucatan	Yucatán	2320898	1140279	1180619
zacatecas	Zacatecas	1622138	791058	831080
